candidate_id,query_date,city,stage,source,name,area,category,estimated_price_cny,must_try,url,research_status,visit_status,notes
food-kunming-20260514-001,2026-05-14,昆明,01-kunming,飞猪/FlyAI ai-search,祥云美食城,得胜桥/祥云街,美食城,10-35,罐罐米线/涮菜/云南小吃,https://a.feizhu.com/1x18CU,pending,候选,昆明站坐地铁到得胜桥约2站；适合低预算正餐和小吃集中解决
food-kunming-20260514-002,2026-05-14,昆明,01-kunming,飞猪/FlyAI ai-search,祥云街,得胜桥/祥云街,小吃街,10-40,云南菜/小吃,https://a.feizhu.com/4PNTuy,pending,候选,与祥云美食城相邻；选择多但需现场避开明显游客价
food-kunming-20260514-003,2026-05-14,昆明,01-kunming,飞猪/FlyAI ai-search,南强步行街,昆明老街/得胜桥,小吃街,10-40,风味小吃,https://a.feizhu.com/03vyhI,pending,候选,离昆明站地铁距离近；适合顺路边逛边吃
food-kunming-20260514-004,2026-05-14,昆明,01-kunming,飞猪/FlyAI ai-search,文化巷,翠湖/云南大学,学生街区,10-35,学生价简餐/滇味小吃,https://a.feizhu.com/3KwNbs,pending,候选,翠湖步行约10分钟；适合低价晚餐和长期日常吃饭
food-kunming-20260514-005,2026-05-14,昆明,01-kunming,飞猪/FlyAI ai-search,文林街,翠湖/云南大学,餐饮街区,15-45,小吃/简餐/咖啡,https://a.feizhu.com/4DloTT,pending,候选,与文化巷相邻；价格可能比学生街略高
food-kunming-20260514-006,2026-05-14,昆明,01-kunming,飞猪/FlyAI ai-search,昆明老街,光华街/文明街,老街小吃,10-40,小锅米线/鲜花饼,https://a.feizhu.com/1fWiPk,pending,候选,翠湖步行约15分钟；适合逛老街时顺路解决小吃
food-kunming-20260514-007,2026-05-14,昆明,01-kunming,飞猪/FlyAI ai-search,文明街传统老字号商街,昆明老街/文明街,老字号商街,10-40,鲜花饼/米线/传统小吃,https://a.feizhu.com/4NdS4E,pending,候选,属于昆明老街片区；后续复核是否游客化和排队情况
food-kunming-20260515-xhs-001,2026-05-15,昆明,01-kunming,小红书/MediaCrawler,豆香园,凤翥街,小吃/米线,25,豆浆糯米饭/豆花米线/酸辣馄饨,,xhs_positive_signal,候选,小红书样本称周末12点已基本没位置；适合错峰，需地图核营业时间
food-kunming-20260515-xhs-002,2026-05-15,昆明,01-kunming,小红书/MediaCrawler,文化巷冰沙冷面/延边菜,文化巷,冷面/简餐,待核验,冰沙冷面/紫菜包饭,,xhs_positive_signal,候选,适合热天一人食；本轮未确认正式店名和价格，需现场或地图核验
food-kunming-20260515-xhs-003,2026-05-15,昆明,01-kunming,小红书/MediaCrawler,半坡小食光,翠湖/顺城附近,清真小店/简餐,25,杂酱米线/炒饭盖饭/烤豆腐,,xhs_positive_signal,候选,适合1-2人低价正餐；位置靠翠湖/顺城，需核营业时间
food-kunming-20260515-xhs-004,2026-05-15,昆明,01-kunming,小红书/MediaCrawler,太小食堂,翠湖附近,云南菜/小食堂,30-50,家常菜/云南菜,,xhs_area_reference_only,候选,样本称三个菜不到100；多人更合适，单人需确认小份/盖饭
food-kunming-20260515-xhs-005,2026-05-15,昆明,01-kunming,小红书/MediaCrawler,山和思茅菜,文化巷,云南菜/思茅菜,待核验,思茅菜,,xhs_area_reference_only,候选,正向评价但排队久；非饥饿状态备选，不作为低价日常主力
food-02-dali-20260514-001,2026-05-14,大理,02-dali,高德地图 REST place/text,蜀一仙牛肉面,大理古城人民路383号,米线/简餐,10-30,米线/饵丝,,pending,候选,低价正餐候选；POI类型：餐饮服务;中餐厅;中餐厅
food-02-dali-20260514-002,2026-05-14,大理,02-dali,高德地图 REST place/text,南庄小锅米线,大理古城护国路174号,米线/简餐,10-30,米线/饵丝,,pending,候选,低价正餐候选；POI类型：餐饮服务;中餐厅;中餐厅
food-02-dali-20260514-003,2026-05-14,大理,02-dali,高德地图 REST place/text,银米·云南传统过桥米线(大理古城店),大理古城新民路15号(天主教堂旁边),米线/简餐,10-30,米线/饵丝,,pending,候选,低价正餐候选；POI类型：餐饮服务;快餐厅;快餐厅
food-02-dali-20260514-004,2026-05-14,大理,02-dali,高德地图 REST place/text,树下小馆·云南经典过桥米线(叶榆路店),护国路186号,米线/简餐,10-30,米线/饵丝,,pending,候选,低价正餐候选；POI类型：餐饮服务;中餐厅;中餐厅
food-02-dali-20260514-005,2026-05-14,大理,02-dali,高德地图 REST place/text,顺囍小锅米线,广武路90号,米线/简餐,10-30,米线/饵丝,,pending,候选,低价正餐候选；POI类型：餐饮服务;中餐厅;中餐厅
food-02-dali-20260514-006,2026-05-14,大理,02-dali,高德地图 REST place/text,蒙自小黄牛米线,玉洱路375号,米线/简餐,10-30,米线/饵丝,,pending,候选,低价正餐候选；POI类型：餐饮服务;餐饮相关场所;餐饮相关
food-02-dali-20260514-007,2026-05-14,大理,02-dali,高德地图 REST place/text,云阿蛮生烫牛肉米线(大理古城店),大理古城玉洱路78号大理非物质文化遗产博物馆对面,米线/简餐,10-30,米线/饵丝,,pending,候选,低价正餐候选；POI类型：餐饮服务;中餐厅;中餐厅
food-02-dali-20260514-008,2026-05-14,大理,02-dali,高德地图 REST place/text,曹记云县土鸡米线(大理总店),玉洱路128号,米线/简餐,10-30,米线/饵丝,,pending,候选,低价正餐候选；POI类型：餐饮服务;中餐厅;中餐厅
food-02-dali-20260514-009,2026-05-14,大理,02-dali,高德地图 REST place/text,大理杨记饵块,大理古城广武路35号,饵丝/小吃,10-30,饵丝,,pending,候选,本地小吃候选；POI类型：餐饮服务;餐饮相关场所;餐饮相关
food-02-dali-20260514-010,2026-05-14,大理,02-dali,高德地图 REST place/text,老字号 永恒有间粑肉饵丝,大理古城玉洱路334号,饵丝/小吃,10-30,饵丝,,pending,候选,本地小吃候选；POI类型：餐饮服务;中餐厅;中餐厅
