candidate_id,query_date,city,stage,source,name,area,estimated_price_cny,url,research_status,visit_status,notes
poi-02-dali-20260514-001,2026-05-14,大理,02-dali,高德地图 REST place/text,双廊古镇,S314(环海东路),0,,pending,候选,古城/街区；免费慢逛，注意游客价
poi-02-dali-20260514-002,2026-05-14,大理,02-dali,高德地图 REST place/text,大理古城,护国路172号,0,,pending,候选,古城/街区；免费慢逛，注意游客价
poi-02-dali-20260514-003,2026-05-14,大理,02-dali,高德地图 REST place/text,南诏风情岛,双廊镇,以官方当日票价为准,,pending,候选,古城/街区；免费慢逛，注意游客价
poi-02-dali-20260514-004,2026-05-14,大理,02-dali,高德地图 REST place/text,大理苍山世界地质公园,Z013附近,以官方当日票价为准,,pending,候选,古城/街区；免费慢逛，注意游客价
poi-02-dali-20260514-005,2026-05-14,大理,02-dali,高德地图 REST place/text,沙溪古镇,084县道,0,,pending,候选,古城/街区；免费慢逛，注意游客价
poi-02-dali-20260514-006,2026-05-14,大理,02-dali,高德地图 REST place/text,鸡足山,鸡足山镇寺前村,以官方当日票价为准,,pending,候选,古城/街区；免费慢逛，注意游客价
poi-02-dali-20260514-007,2026-05-14,大理,02-dali,高德地图 REST place/text,大理张家花园,观音塘北旁,以官方当日票价为准,,pending,候选,古城/街区；免费慢逛，注意游客价
poi-02-dali-20260514-008,2026-05-14,大理,02-dali,高德地图 REST place/text,崇圣寺三塔文化旅游区,大理镇三塔公园,以官方当日票价为准,,pending,候选,古城/街区；免费慢逛，注意游客价
poi-02-dali-20260514-009,2026-05-14,大理,02-dali,高德地图 REST place/text,大理古城红龙井,护国路172号大理古城(西南角),0,,pending,候选,古城/街区；免费慢逛，注意游客价
poi-02-dali-20260514-010,2026-05-14,大理,02-dali,高德地图 REST place/text,大理海洋世界,海东山地新城大理海洋城1栋2单元,以官方当日票价为准,,pending,候选,古城/街区；免费慢逛，注意游客价
poi-02-dali-20260514-011,2026-05-14,大理,02-dali,高德地图 REST place/text,喜洲古镇-严家民居,喜洲风景区大理喜洲古镇富春里36号(喜洲小学斜对面),以官方当日票价为准,,pending,候选,古镇/村落；适合低强度半日
poi-02-dali-20260514-012,2026-05-14,大理,02-dali,高德地图 REST place/text,蝴蝶泉,永兴公路035乡,以官方当日票价为准,,pending,候选,古镇/村落；适合低强度半日
poi-02-dali-20260514-013,2026-05-14,大理,02-dali,高德地图 REST place/text,小普陀,海东镇海印村77号,0,,pending,候选,古镇/村落；适合低强度半日
poi-02-dali-20260514-014,2026-05-14,大理,02-dali,高德地图 REST place/text,理想邦,环海东路,0,,pending,候选,古镇/村落；适合低强度半日
poi-02-dali-20260514-015,2026-05-14,大理,02-dali,高德地图 REST place/text,喜洲古镇-严家大院,喜洲镇里面的四方街旁边,以官方当日票价为准,,pending,候选,古镇/村落；适合低强度半日
poi-02-dali-20260514-016,2026-05-14,大理,02-dali,高德地图 REST place/text,杨贵贤院,清真路130号喜洲古镇内(东侧),0,,pending,候选,古镇/村落；适合低强度半日
poi-02-dali-20260514-017,2026-05-14,大理,02-dali,高德地图 REST place/text,洱海公园-动物园区,洱河南路1号洱海公园内(东侧),0,,pending,候选,湖边/公园；雨天和风大时降低优先级
poi-02-dali-20260514-018,2026-05-14,大理,02-dali,高德地图 REST place/text,洱海公园-猴山,下关洱河南路1号洱海公园动物园区内,0,,pending,候选,湖边/公园；雨天和风大时降低优先级
poi-02-dali-20260514-019,2026-05-14,大理,02-dali,高德地图 REST place/text,洱海公园,洱河南路1号,0,,pending,候选,湖边/公园；雨天和风大时降低优先级
poi-02-dali-20260514-020,2026-05-14,大理,02-dali,高德地图 REST place/text,天龙台,洱河南路1号洱海公园内(西侧),0,,pending,候选,湖边/公园；雨天和风大时降低优先级
poi-02-dali-20260514-021,2026-05-14,大理,02-dali,高德地图 REST place/text,洱海,挖色镇大理海印学校北侧70米,0,,pending,候选,湖边/公园；雨天和风大时降低优先级
poi-02-dali-20260514-022,2026-05-14,大理,02-dali,高德地图 REST place/text,洱海公园-听涛亭,洱河南路1号洱海公园内(西侧),0,,pending,候选,湖边/公园；雨天和风大时降低优先级
poi-02-dali-20260514-023,2026-05-14,大理,02-dali,高德地图 REST place/text,百二山河牌坊,滨海大道洱海公园内,0,,pending,候选,湖边/公园；雨天和风大时降低优先级
poi-02-dali-20260514-024,2026-05-14,大理,02-dali,高德地图 REST place/text,应海廟,洱河南路1号洱海公园内(东侧),以官方当日票价为准,,pending,候选,湖边/公园；雨天和风大时降低优先级
poi-02-dali-20260514-025,2026-05-14,大理,02-dali,高德地图 REST place/text,大理人民英雄纪念广场,洱河南路1号洱海公园,0,,pending,候选,湖边/公园；雨天和风大时降低优先级
poi-02-dali-20260514-026,2026-05-14,大理,02-dali,高德地图 REST place/text,龙山公园,行政办公区,0,,pending,候选,山地/自然；索道和山路看天气，默认不硬排
poi-02-dali-20260514-027,2026-05-14,大理,02-dali,高德地图 REST place/text,洱海大游船,洱河南路大理港码头,以官方当日票价为准,,pending,候选,山地/自然；索道和山路看天气，默认不硬排
poi-02-dali-20260514-028,2026-05-14,大理,02-dali,高德地图 REST place/text,雄风塔(大理州政务服务中心),龙山东路与Z002交叉口西420米,0,,pending,候选,山地/自然；索道和山路看天气，默认不硬排
poi-02-dali-20260514-029,2026-05-14,大理,02-dali,高德地图 REST place/text,苍山景区苍山感通索道,七里桥观音塘以西1.5公里,以官方当日票价为准,,pending,候选,山地/自然；索道和山路看天气，默认不硬排
poi-02-dali-20260514-030,2026-05-14,大理,02-dali,高德地图 REST place/text,天井口袋公园,满江街道苍山东路434号,0,,pending,候选,山地/自然；索道和山路看天气，默认不硬排
poi-02-dali-20260514-031,2026-05-14,大理,02-dali,高德地图 REST place/text,大理西湖,西湖线西湖景区内,以官方当日票价为准,,pending,候选,人文景区；门票以官方当日为准，预算紧张时仅外观
poi-02-dali-20260514-032,2026-05-14,大理,02-dali,高德地图 REST place/text,洗马潭索道,三月街天龙八部影视城内,以官方当日票价为准,,pending,候选,人文景区；门票以官方当日为准，预算紧张时仅外观
poi-02-dali-20260514-033,2026-05-14,大理,02-dali,高德地图 REST place/text,天龙八部影视城,大理古城(洗马潭索道东北),以官方当日票价为准,,pending,候选,人文景区；门票以官方当日为准，预算紧张时仅外观
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-001,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,建水古城,,0,,pending,候选,古城/街区；低强度主线
