poi_id,query_date,city,stage,source,name,category,type,address,location,estimated_ticket_cny,opening_hours,reservation,priority,notes
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-001,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,建水古城,古城/街区,风景名胜;风景名胜;风景名胜,,"102.825002,23.613899",0,全天开放；街区商户营业时间不一,无需预约,候选,低强度主线
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-002,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,朱家花园,人文景区,风景名胜;风景名胜;国家级景点,翰林街16号(近书院街),"102.826959,23.615863",以官方当日票价为准,白天开放；以官方公告为准,需官方渠道核验票价和预约,候选,门票以官方当日为准，预算允许再进
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-003,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,团山民居,古村/人文,风景名胜;风景名胜;风景名胜,西庄镇团山寨,"102.739972,23.643250",以官方当日票价为准,白天开放；以景区现场管理为准,需官方渠道核验票价和交通,候选,交通顺路时考虑
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-004,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,团山民居-上庙,古村/人文,风景名胜;风景名胜;寺庙道观,西庄镇团山寨团山民居,"102.738425,23.643725",以团山民居当日票价为准,随团山民居开放；以现场管理为准,随主景区核验,候选,交通顺路时考虑
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-005,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,张家花园,古村/人文,风景名胜;风景名胜相关;旅游景点,西庄镇团山民居内,"102.739015,23.644049",以团山民居当日票价为准,随团山民居开放；以现场管理为准,随主景区核验,候选,交通顺路时考虑
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-006,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,哈尼梯田文化博物馆,梯田/自然,科教文化服务;博物馆;博物馆,245国道,"102.741167,23.105926",以现场公示为准,白天开放；以现场管理为准,能见度和道路稳定后核验开放,候选,能见度和道路正常才保留
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-007,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,元阳·哈尼梯田,梯田/自然,风景名胜;风景名胜;风景名胜,新街镇箐口村,"102.743435,23.113472",以官方当日票价为准,全天景观；观景台以景区管理为准,需官方渠道核验；天气/道路稳定后再定,候选,能见度和道路正常才保留
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-008,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,南湖公园,湖边/公园,风景名胜;公园广场;公园,南湖南路7号,"103.402150,23.362827",0,全天开放,无需预约,候选,恢复体力和低预算日
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-009,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,南湖公园-闻一多纪念亭,湖边/公园,风景名胜;风景名胜;纪念馆,南湖南路7号南湖公园,"103.401703,23.362710",0,随南湖公园开放；以现场管理为准,无需预约,候选,恢复体力和低预算日
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-010,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,南湖公园-南湖瀛州亭,湖边/公园,风景名胜;风景名胜相关;旅游景点,南湖北路南湖公园(南湖北路)附近,"103.405294,23.363170",0,随南湖公园开放；以现场管理为准,无需预约,候选,恢复体力和低预算日
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-011,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,碧色寨风景区,人文景区,风景名胜;风景名胜;风景名胜,开蒙线,"103.404334,23.457359",以官方当日票价为准,白天开放；以现场管理为准,需官方渠道核验票价、预约和交通,候选,蒙自可选，注意交通
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-012,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,碧色寨马帮文化展览馆,人文景区,风景名胜;风景名胜;风景名胜,碧色寨风景区,"103.411394,23.460918",以碧色寨当日票价为准,随碧色寨开放；以现场管理为准,随主景区核验,候选,蒙自可选，注意交通
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-013,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,碧色寨车站车库遗址,人文景区,风景名胜;风景名胜;风景名胜,开蒙线,"103.411672,23.460133",以碧色寨当日票价为准,随碧色寨开放；以现场管理为准,随主景区核验,候选,蒙自可选，注意交通
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-014,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,普者黑风景区,湖区/自然,风景名胜;风景名胜;国家级景点,迎宾路144号,"104.131132,24.111630",以官方当日票价为准,白天开放；游船/项目以现场管理为准,需官方渠道核验；天气/住宿价格稳定后再定,候选,天气和住宿价格允许时保留
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-015,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,普者黑风景区-龙宫,湖区/自然,风景名胜;风景名胜相关;旅游景点,仙人洞,"104.134116,24.128249",以普者黑当日票价为准,随普者黑景区开放；以现场管理为准,随主景区核验项目开放,候选,天气和住宿价格允许时保留
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-016,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,普者黑水陌青田景区,湖区/自然,风景名胜;风景名胜相关;旅游景点,双龙营镇普者黑村梅子山旁,"104.139053,24.153518",以官方当日票价为准,白天开放；以现场管理为准,需官方渠道核验；天气稳定后再定,候选,天气和住宿价格允许时保留
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-017,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,普者黑风景区-螺蛳洞,湖区/自然,风景名胜;风景名胜相关;旅游景点,普者黑风景区(东南角),"104.138604,24.103380",以普者黑当日票价为准,随普者黑景区开放；以现场管理为准,随主景区核验项目开放,候选,天气和住宿价格允许时保留
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-018,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,云南普者黑喀斯特地貌国家湿地公园,湖区/自然,风景名胜;公园广场;公园|风景名胜;风景名胜;国家级景点,305省道北侧,"104.133551,24.098261",以官方当日票价为准,白天开放；以现场管理为准,需官方渠道核验；天气稳定后再定,候选,天气和住宿价格允许时保留
