poi_id,query_date,city,stage,source,name,category,type,address,location,estimated_ticket_cny,opening_hours,reservation,priority,notes
poi-01-kunming-20260515-001,2026-05-15,昆明,01-kunming,高德地图 REST place/text,翠湖公园,湖边/公园,风景名胜;公园广场;公园,翠湖南路67号,"102.703621,25.048416",0,全天开放，园内局部设施以现场公告为准,通常无需预约,候选,免费慢逛，适合到达后低强度
poi-01-kunming-20260515-002,2026-05-15,昆明,01-kunming,高德地图 REST place/text,翠湖·阮堤,湖边/公园,风景名胜;风景名胜相关;旅游景点,翠湖南路67号翠湖公园,"102.703553,25.047468",0,全天开放，园内局部设施以现场公告为准,通常无需预约,候选,免费慢逛，适合到达后低强度
poi-01-kunming-20260515-003,2026-05-15,昆明,01-kunming,高德地图 REST place/text,昆明翠湖公园-唐堤,湖边/公园,风景名胜;风景名胜相关;旅游景点,翠湖南路67号翠湖公园内(东侧),"102.705351,25.048848",0,全天开放，园内局部设施以现场公告为准,通常无需预约,候选,免费慢逛，适合到达后低强度
poi-01-kunming-20260515-004,2026-05-15,昆明,01-kunming,高德地图 REST place/text,昆明翠湖公园-说园,湖边/公园,风景名胜;风景名胜相关;旅游景点,翠湖南路67号翠湖公园(东北角),"102.705289,25.049583",0,全天开放，园内局部设施以现场公告为准,通常无需预约,候选,免费慢逛，适合到达后低强度
poi-01-kunming-20260515-005,2026-05-15,昆明,01-kunming,高德地图 REST place/text,昆明翠湖公园-竹林岛,湖边/公园,风景名胜;风景名胜相关;旅游景点,翠湖南路67号翠湖公园(东北角),"102.705505,25.049757",0,全天开放，园内局部设施以现场公告为准,通常无需预约,候选,免费慢逛，适合到达后低强度
poi-01-kunming-20260515-006,2026-05-15,昆明,01-kunming,高德地图 REST place/text,昆明翠湖公园-滇花苑,湖边/公园,风景名胜;风景名胜相关;旅游景点,翠湖南路67号翠湖公园(西北角),"102.702315,25.049411",0,全天开放，园内局部设施以现场公告为准,通常无需预约,候选,免费慢逛，适合到达后低强度
poi-01-kunming-20260515-007,2026-05-15,昆明,01-kunming,高德地图 REST place/text,翠湖·定西桥,湖边/公园,风景名胜;风景名胜相关;旅游景点,翠湖南路67号翠湖公园内(西侧),"102.701897,25.048930",0,全天开放，园内局部设施以现场公告为准,通常无需预约,候选,免费慢逛，适合到达后低强度
poi-01-kunming-20260515-008,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南大学(呈贡校区),校园/街区,科教文化服务;学校;高等院校,大学城东外环南路,"102.850335,24.826929",0,以校方/校区公告为准,需校方/门岗核验，可能需身份证登记,候选,免费慢逛，注意校区开放规则
poi-01-kunming-20260515-009,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南师范大学(呈贡校区),校园/街区,科教文化服务;学校;高等院校,聚贤街768号,"102.853384,24.861620",0,以校方/校区公告为准,需校方/门岗核验，可能需身份证登记,候选,免费慢逛，注意校区开放规则
poi-01-kunming-20260515-010,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南师范大学呈贡校区(东区),校园/街区,科教文化服务;学校;高等院校,聚贤街768号,"102.856117,24.862393",0,以校方/校区公告为准,需校方/门岗核验，可能需身份证登记,候选,免费慢逛，注意校区开放规则
poi-01-kunming-20260515-011,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南大学呈贡校区新闻学院,校园/街区,科教文化服务;学校;高等院校,云南大学(呈贡校区),"102.844235,24.825947",0,以校方/校区公告为准,需校方/门岗核验，可能需身份证登记,候选,免费慢逛，注意校区开放规则
poi-01-kunming-20260515-012,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南民族大学(雨花校区),校园/街区,科教文化服务;学校;高等院校,月华街2929号,"102.851789,24.838108",0,以校方/校区公告为准,需校方/门岗核验，可能需身份证登记,候选,免费慢逛，注意校区开放规则
poi-01-kunming-20260515-013,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南大学呈贡校区·药学院,校园/街区,科教文化服务;学校;高等院校,致远路1号,"102.852486,24.829359",0,以校方/校区公告为准,需校方/门岗核验，可能需身份证登记,候选,免费慢逛，注意校区开放规则
poi-01-kunming-20260515-014,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南大学呈贡校区经济学院,校园/街区,科教文化服务;学校;高等院校,云南大学(呈贡校区),"102.850643,24.823657",0,以校方/校区公告为准,需校方/门岗核验，可能需身份证登记,候选,免费慢逛，注意校区开放规则
poi-01-kunming-20260515-015,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南大学呈贡校区外国语学院,校园/街区,科教文化服务;学校;高等院校,云南大学(呈贡校区),"102.845139,24.828009",0,以校方/校区公告为准,需校方/门岗核验，可能需身份证登记,候选,免费慢逛，注意校区开放规则
poi-01-kunming-20260515-016,2026-05-15,昆明,01-kunming,高德地图 REST place/text,昆明老街记忆,古城/街区,风景名胜;风景名胜;风景名胜,景星街102号,"102.707202,25.038029",0,全天开放，店铺营业时间各异,通常无需预约，商户消费另计,候选,免费慢逛，注意游客价
poi-01-kunming-20260515-017,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南省博物馆,博物馆/室内,科教文化服务;博物馆;博物馆,广福路6393号,"102.753517,24.949455",免费开放，特展以官方当日票价为准,以官方公告为准，通常周一或维护日可能闭馆,建议官方渠道预约，可能需身份证预约,候选,雨天备选，预约需官方渠道核验
poi-01-kunming-20260515-018,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南省博物馆小游园,博物馆/室内,风景名胜;公园广场;公园,广福路云南省博物馆东门右侧,"102.755316,24.949860",0,全天开放，园内局部设施以现场公告为准,通常无需预约,候选,雨天备选，预约需官方渠道核验
poi-01-kunming-20260515-019,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南省家书博物馆,博物馆/室内,科教文化服务;科教文化场所;科教文化场所,七彩云南第壹城,"102.825834,24.877845",免费开放，特展以官方当日票价为准,以官方公告为准，通常周一或维护日可能闭馆,建议官方渠道预约，可能需身份证预约,候选,雨天备选，预约需官方渠道核验
poi-01-kunming-20260515-020,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南民族博物馆,博物馆/室内,科教文化服务;博物馆;博物馆,昆明滇池国家旅游度假区滇池路1503号,"102.669200,24.965068",免费开放，特展以官方当日票价为准,以官方公告为准，通常周一或维护日可能闭馆,建议官方渠道预约，可能需身份证预约,候选,雨天备选，预约需官方渠道核验
poi-01-kunming-20260515-021,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南省博物馆-陶瓷馆,博物馆/室内,科教文化服务;博物馆;博物馆,云南省博物馆,"102.753558,24.949398",免费开放，特展以官方当日票价为准,以官方公告为准，通常周一或维护日可能闭馆,建议官方渠道预约，可能需身份证预约,候选,雨天备选，预约需官方渠道核验
poi-01-kunming-20260515-022,2026-05-15,昆明,01-kunming,高德地图 REST place/text,官渡古镇,古镇/村落,风景名胜;风景名胜;国家级景点,广福路,"102.755581,24.955125",0,全天开放，店铺营业时间各异,通常无需预约，商户消费另计,候选,免费慢逛，适合预算日
poi-01-kunming-20260515-023,2026-05-15,昆明,01-kunming,高德地图 REST place/text,官渡古镇-大牌坊,古镇/村落,风景名胜;风景名胜相关;旅游景点,云秀路官渡古镇内(西南角),"102.753212,24.953773",0,全天开放，店铺营业时间各异,通常无需预约，商户消费另计,候选,免费慢逛，适合预算日
poi-01-kunming-20260515-024,2026-05-15,昆明,01-kunming,高德地图 REST place/text,官渡古镇-官渡土主庙,古镇/村落,风景名胜;风景名胜;寺庙道观,广福路官渡古镇(东北角),"102.756403,24.955657",以官方当日票价为准,以寺庙/景区现场公告为准,建议现场或官方渠道核验,候选,免费慢逛，适合预算日
