poi_id,query_date,city,stage,source,name,category,type,address,location,estimated_ticket_cny,opening_hours,reservation,priority,notes
poi-08-puer-jingmai-xishuangbanna-20260515-001,2026-05-15,普洱/景迈山/西双版纳,08-puer-jingmai-xishuangbanna,高德地图 REST place/text,普洱茶马古道遗址公园,人文景区,风景名胜;风景名胜;风景名胜,普洱大道茶马古城旅游小镇东侧旅游环线大桥旁,"100.990069,22.820653",以官方当日票价为准,白天开放；夜间项目以现场管理为准,需官方渠道核验票价和雨天运营,候选,门票以官方当日为准，雨天降低优先级
poi-08-puer-jingmai-xishuangbanna-20260515-002,2026-05-15,普洱/景迈山/西双版纳,08-puer-jingmai-xishuangbanna,高德地图 REST place/text,茶马古城旅游小镇,人文景区,风景名胜;风景名胜;风景名胜,旅游环线东侧(腊梅坡大桥旁)茶马古道旅游景区,"100.986612,22.818701",0,全天开放；商户营业时间不一,无需预约；消费项目现场核验,候选,门票以官方当日为准，雨天降低优先级
poi-08-puer-jingmai-xishuangbanna-20260515-003,2026-05-15,普洱/景迈山/西双版纳,08-puer-jingmai-xishuangbanna,高德地图 REST place/text,茶王山谷,人文景区,风景名胜;风景名胜相关;旅游景点,北部区旅游环线东侧(腊梅坡大桥旁)茶马古道旅游景区内,"100.993096,22.827686",以官方当日票价为准,白天开放；以景区现场管理为准,需官方渠道核验票价和雨天运营,候选,门票以官方当日为准，雨天降低优先级
poi-08-puer-jingmai-xishuangbanna-20260515-004,2026-05-15,普洱/景迈山/西双版纳,08-puer-jingmai-xishuangbanna,高德地图 REST place/text,唐茶殿,人文景区,风景名胜;风景名胜;寺庙道观,普洱茶马古道旅游景区内(北侧),"100.998727,22.838237",以官方当日票价为准,白天开放；以景区现场管理为准,需官方渠道核验票价和开放区域,候选,门票以官方当日为准，雨天降低优先级
poi-08-puer-jingmai-xishuangbanna-20260515-005,2026-05-15,普洱/景迈山/西双版纳,08-puer-jingmai-xishuangbanna,高德地图 REST place/text,梅子湖公园,湖边/公园,风景名胜;公园广场;公园,南屏镇梅园路,"100.988530,22.754775",0,全天开放,无需预约,候选,低强度市区备选
poi-08-puer-jingmai-xishuangbanna-20260515-006,2026-05-15,普洱/景迈山/西双版纳,08-puer-jingmai-xishuangbanna,高德地图 REST place/text,梅子湖动物园,湖边/公园,风景名胜;风景名胜;风景名胜,梅子乡园丁路梅子湖公园内(西侧),"100.984018,22.753226",以现场公示为准,白天开放；以现场管理为准,出发前核验是否开放和收费,候选,低强度市区备选
poi-08-puer-jingmai-xishuangbanna-20260515-007,2026-05-15,普洱/景迈山/西双版纳,08-puer-jingmai-xishuangbanna,高德地图 REST place/text,普洱市梅子湖公园观景台,湖边/公园,风景名胜;风景名胜相关;旅游景点,,"100.975615,22.746168",0,全天开放；雨天谨慎前往,无需预约；天气稳定后再定,候选,低强度市区备选
poi-08-puer-jingmai-xishuangbanna-20260515-008,2026-05-15,普洱/景迈山/西双版纳,08-puer-jingmai-xishuangbanna,高德地图 REST place/text,梅子湖公园-望湖亭,湖边/公园,风景名胜;风景名胜相关;旅游景点,梅子湖景区内,"100.983990,22.752117",0,全天开放；雨天谨慎前往,无需预约,候选,低强度市区备选
poi-08-puer-jingmai-xishuangbanna-20260515-009,2026-05-15,普洱/景迈山/西双版纳,08-puer-jingmai-xishuangbanna,高德地图 REST place/text,梅子湖公园-畅怀亭,湖边/公园,风景名胜;风景名胜相关;旅游景点,梅子湖公园(西侧),"100.984858,22.753386",0,全天开放；雨天谨慎前往,无需预约,候选,低强度市区备选
poi-08-puer-jingmai-xishuangbanna-20260515-010,2026-05-15,普洱/景迈山/西双版纳,08-puer-jingmai-xishuangbanna,高德地图 REST place/text,普洱景迈山茶林文化景区,茶山/村寨,风景名胜;风景名胜;风景名胜,景迈山古茶林景区内,"100.012324,22.193769",以官方当日票价为准,白天开放；以景区和村寨管理为准,需官方渠道核验；天气/道路稳定后再定,候选,只在天气和道路确认后保留
poi-08-puer-jingmai-xishuangbanna-20260515-011,2026-05-15,普洱/景迈山/西双版纳,08-puer-jingmai-xishuangbanna,高德地图 REST place/text,景迈山观景台,茶山/村寨,风景名胜;风景名胜;观景点,BeanGreat北归咖仓(景迈山店)西侧,"100.020641,22.208589",以现场公示为准,白天开放；能见度差时不建议安排,天气/道路稳定后再定,候选,只在天气和道路确认后保留
poi-08-puer-jingmai-xishuangbanna-20260515-012,2026-05-15,普洱/景迈山/西双版纳,08-puer-jingmai-xishuangbanna,高德地图 REST place/text,景迈山芒景瀑布,茶山/村寨,风景名胜;风景名胜;风景名胜,J69县道,"100.032571,22.174542",以现场公示为准,白天开放；雨季以现场管理为准,天气/道路稳定后再定,候选,只在天气和道路确认后保留
poi-08-puer-jingmai-xishuangbanna-20260515-013,2026-05-15,普洱/景迈山/西双版纳,08-puer-jingmai-xishuangbanna,高德地图 REST place/text,翁基古寨,茶山/村寨,风景名胜;风景名胜;风景名胜,惠民乡芒景村,"100.015454,22.161002",以现场公示为准,白天开放；以村寨管理为准,需核验景迈山进出和村寨管理要求,候选,景迈山内可选
poi-08-puer-jingmai-xishuangbanna-20260515-014,2026-05-15,普洱/景迈山/西双版纳,08-puer-jingmai-xishuangbanna,高德地图 REST place/text,翁基布朗族古寨,茶山/村寨,风景名胜;风景名胜;风景名胜,惠民镇景迈山古茶林景区内,"100.000060,22.171199",以现场公示为准,白天开放；以村寨管理为准,需核验景迈山进出和村寨管理要求,候选,景迈山内可选
poi-08-puer-jingmai-xishuangbanna-20260515-015,2026-05-15,普洱/景迈山/西双版纳,08-puer-jingmai-xishuangbanna,高德地图 REST place/text,曼听御花园景区,公园/人文,风景名胜;风景名胜;国家级景点,曼听路35号,"100.807593,21.991168",以官方当日票价为准,白天开放；夜间活动另行核验,需官方渠道核验票价和演出/活动预约,候选,景洪低强度备选
poi-08-puer-jingmai-xishuangbanna-20260515-016,2026-05-15,普洱/景迈山/西双版纳,08-puer-jingmai-xishuangbanna,高德地图 REST place/text,曼听公园-佛教文化区,公园/人文,风景名胜;风景名胜相关;旅游景点,曼听路35号曼听公园,"100.806642,21.992934",以曼听公园当日票价为准,随曼听公园开放；以现场管理为准,随主景区核验,候选,景洪低强度备选
poi-08-puer-jingmai-xishuangbanna-20260515-017,2026-05-15,普洱/景迈山/西双版纳,08-puer-jingmai-xishuangbanna,高德地图 REST place/text,曼听公园-周总理纪念碑,公园/人文,风景名胜;风景名胜;纪念馆,景洪工业园区勐海路12号,"100.807652,21.993537",以曼听公园当日票价为准,随曼听公园开放；以现场管理为准,随主景区核验,候选,景洪低强度备选
poi-08-puer-jingmai-xishuangbanna-20260515-018,2026-05-15,普洱/景迈山/西双版纳,08-puer-jingmai-xishuangbanna,高德地图 REST place/text,告庄西双景,街区/夜市,风景名胜;风景名胜相关;旅游景点,曼泐路12号靠近达兰商业广场,"100.821392,22.007019",0,全天开放；夜市以商户营业为准,无需预约；控制消费,候选,控制消费，避开高价店
poi-08-puer-jingmai-xishuangbanna-20260515-019,2026-05-15,普洱/景迈山/西双版纳,08-puer-jingmai-xishuangbanna,高德地图 REST place/text,中国科学院西双版纳热带植物园,自然景区,风景名胜;公园广场;植物园,勐仑镇213国道,"101.273887,21.917224",以官方当日票价为准,白天开放；以官方公告为准,需官方渠道核验票价、交通和预约,候选,门票和往返时间需官方渠道核验
poi-08-puer-jingmai-xishuangbanna-20260515-020,2026-05-15,普洱/景迈山/西双版纳,08-puer-jingmai-xishuangbanna,高德地图 REST place/text,中国科学院西双版纳热带植物园-西游览区,自然景区,风景名胜;风景名胜相关;旅游景点,勐仑镇213国道中国科学院西双版纳热带植物园内(西北角),"101.251699,21.926587",以主景区当日票价为准,随主景区开放；以现场管理为准,随主景区核验游览车和开放区域,候选,门票和往返时间需官方渠道核验
poi-08-puer-jingmai-xishuangbanna-20260515-021,2026-05-15,普洱/景迈山/西双版纳,08-puer-jingmai-xishuangbanna,高德地图 REST place/text,中国科学院西双版纳热带植物园-东游览区,自然景区,风景名胜;风景名胜相关;旅游景点,勐仑镇213国道中国科学院西双版纳热带植物园内(东南角),"101.282991,21.908751",以主景区当日票价为准,随主景区开放；以现场管理为准,随主景区核验游览车和开放区域,候选,门票和往返时间需官方渠道核验
poi-08-puer-jingmai-xishuangbanna-20260515-022,2026-05-15,普洱/景迈山/西双版纳,08-puer-jingmai-xishuangbanna,高德地图 REST place/text,中国科学院西双版纳热带植物园-市场,自然景区,风景名胜;风景名胜相关;旅游景点,勐仑镇中国科学院西双版纳热带植物园内(西北角),"101.243695,21.932044",以现场消费为准,随主景区开放；商户营业时间不一,随主景区核验,候选,门票和往返时间需官方渠道核验
