poi_id,query_date,city,stage,source,name,category,type,address,location,estimated_ticket_cny,opening_hours,reservation,priority,notes
poi-04-lijiang-20260514-001,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,丽江市福国寺,古镇,风景名胜;风景名胜;寺庙道观,白沙镇,"100.198226,26.951570",0,白天开放,无需预约，宗教场所开放以现场公告为准,候选,慢住核心区
poi-04-lijiang-20260514-002,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,三眼井餐厅,古镇,风景名胜;风景名胜相关;旅游景点,束河路(龙泉路口)丽江束河古镇内,"100.204833,26.917871",0,全天开放,无需预约，临时管控以现场公告为准,候选,慢住核心区
poi-04-lijiang-20260514-003,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,白沙古镇,古镇,风景名胜;风景名胜;风景名胜,白沙镇,"100.216933,26.953303",0,全天开放,无需预约，临时管控以现场公告为准,候选,慢住核心区
poi-04-lijiang-20260514-004,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,白沙古镇-大宝积宫,古镇,风景名胜;风景名胜;寺庙道观,白沙乡政府旁边白沙壁画内(西侧),"100.216884,26.954846",以官方当日票价为准,以景区公告为准,需官方渠道核验,候选,慢住核心区
poi-04-lijiang-20260514-005,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,玉水寨-纳西古寨,古镇,风景名胜;风景名胜相关;旅游景点,白沙镇丽江玉水寨风景区内(西侧),"100.199078,26.999378",以官方当日票价为准,以景区公告为准,需官方渠道核验,候选,慢住核心区
poi-04-lijiang-20260514-006,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,白沙壁画-金刚殿,古镇,风景名胜;风景名胜;风景名胜,白沙镇三元村白沙壁画景区正门直行40米后右转150米白沙壁画(西北角),"100.217146,26.955956",以官方当日票价为准,以景区公告为准,需官方渠道核验,候选,慢住核心区
poi-04-lijiang-20260514-007,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,北岳庙-玉龙祠,古镇,风景名胜;风景名胜;寺庙道观,白沙镇北岳庙,"100.204009,26.986722",0,白天开放,无需预约，宗教场所开放以现场公告为准,候选,慢住核心区
poi-04-lijiang-20260514-008,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,玉水寨-纸坊,古镇,风景名胜;风景名胜相关;旅游景点,白沙镇丽江玉水寨风景区内(西侧),"100.199641,26.999216",以官方当日票价为准,以景区公告为准,需官方渠道核验,候选,慢住核心区
poi-04-lijiang-20260514-009,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,丽江玉水寨风景区,古镇,风景名胜;风景名胜;国家级景点,白沙镇,"100.201622,26.999757",以官方当日票价为准,以景区公告为准,需官方渠道核验,候选,慢住核心区
poi-04-lijiang-20260514-010,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,东巴谷景区,古镇,风景名胜;风景名胜;国家级景点,白沙镇雪山玉甘路15里处,"100.261078,27.006035",以官方当日票价为准,以景区公告为准,需官方渠道核验,候选,慢住核心区
poi-04-lijiang-20260514-011,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,观音峡,古镇,风景名胜;风景名胜;国家级景点,七河乡,"100.267984,26.768790",以官方当日票价为准,以景区公告为准,需官方渠道核验,候选,住宿和餐饮候选区
poi-04-lijiang-20260514-012,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,狮子山万古楼景区,古镇,风景名胜;风景名胜;风景名胜,大研镇新华街丽江古城-狮子山(狮山路)(东北角),"100.231338,26.870249",以官方当日票价为准,以景区公告为准,需官方渠道核验,候选,住宿和餐饮候选区
poi-04-lijiang-20260514-013,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,丽江拉市海湿地公园,古镇,风景名胜;公园广场;公园,海北段,"100.139137,26.861179",以官方当日票价为准,以景区公告为准,需官方渠道核验,候选,住宿和餐饮候选区
poi-04-lijiang-20260514-014,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,束河古镇-九鼎龙潭,古镇,风景名胜;风景名胜;风景名胜,束河街道束河街道束河路(龙泉路口)丽江束河古镇内(北侧),"100.203925,26.923975",0,全天开放,无需预约，临时管控以现场公告为准,候选,住宿和餐饮候选区
poi-04-lijiang-20260514-015,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,黑龙潭,古镇,风景名胜;风景名胜;国家级景点,民主路1号,"100.239852,26.888448",以官方当日票价为准,以景区公告为准,需官方渠道核验,候选,住宿和餐饮候选区
poi-04-lijiang-20260514-016,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,丽江千古情景区,古镇,体育休闲服务;影剧院;剧场|风景名胜;风景名胜;风景名胜,黄山街道玉兴西路88号,"100.218666,26.827705",以官方当日票价为准,以景区公告为准,需官方渠道核验,候选,住宿和餐饮候选区
poi-04-lijiang-20260514-017,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,玉龙雪山国家级风景名胜区蓝月谷,古镇,风景名胜;风景名胜;风景名胜,雪山景区内,"100.245886,27.124436",以官方当日票价为准,以景区公告为准,需官方渠道核验,候选,住宿和餐饮候选区
poi-04-lijiang-20260514-018,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,丽江古城,古镇,风景名胜;风景名胜;世界遗产,民主路与福慧路交叉口东南,"100.235517,26.870507",0,全天开放,无需预约，临时管控以现场公告为准,候选,住宿和餐饮候选区
poi-04-lijiang-20260514-019,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,丽江古城-狮子山(狮山路),古镇,风景名胜;风景名胜;风景名胜,大研镇新华街,"100.230484,26.869842",0,全天开放,无需预约，进入万古楼另行核验,候选,住宿和餐饮候选区
poi-04-lijiang-20260514-020,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,丽江古城-古城大水车,古城,风景名胜;风景名胜;风景名胜,东大街1号丽江古城内(北侧),"100.233324,26.876027",0,全天开放,无需预约，临时管控以现场公告为准,候选,方便但商业化
poi-04-lijiang-20260514-021,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,蓝月湖,古城,风景名胜;风景名胜相关;旅游景点,大具乡,"100.249229,27.124830",以官方当日票价为准,以景区公告为准,需官方渠道核验,候选,方便但商业化
poi-04-lijiang-20260514-022,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,丽江古城白龙文化广场,古城,风景名胜;公园广场;城市广场,丽江古城(西南角),"100.231595,26.867111",0,全天开放,无需预约，临时管控以现场公告为准,候选,方便但商业化
poi-04-lijiang-20260514-023,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,玉龙雪山国家级风景名胜区,古城,风景名胜;风景名胜;国家级景点,旅游环线,"100.258558,27.098052",以官方当日票价为准,以景区公告为准,需官方渠道核验,候选,方便但商业化
poi-04-lijiang-20260514-024,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,花马广场,公园,风景名胜;公园广场;城市广场,花马街与民主路交叉口西北40米,"100.231791,26.882572",0,全天开放,无需预约，临时管控以现场公告为准,候选,低强度城市活动
poi-04-lijiang-20260514-025,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,黑龙潭-和志强墓,公园,风景名胜;风景名胜相关;旅游景点,民主路1号黑龙潭公园内,"100.233574,26.887852",以官方当日票价为准,以景区公告为准,需官方渠道核验,候选,低强度城市活动
poi-04-lijiang-20260514-026,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,弥勒竹园,公园,风景名胜;风景名胜相关;旅游景点,教育路与民主路交叉口北280米,"100.232498,26.885610",0,白天开放,无需预约，园内点位以现场公告为准,候选,低强度城市活动
poi-04-lijiang-20260514-027,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,黑龙潭公园-龙神祠,公园,风景名胜;风景名胜相关;旅游景点,民主路1号黑龙潭(西南角),"100.234964,26.884553",以官方当日票价为准,以景区公告为准,需官方渠道核验,候选,低强度城市活动
poi-04-lijiang-20260514-028,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,黑龙潭公园-文明坊,公园,风景名胜;风景名胜相关;旅游景点,民主路1号黑龙潭(西南角),"100.233461,26.883291",以官方当日票价为准,以景区公告为准,需官方渠道核验,候选,低强度城市活动
poi-04-lijiang-20260514-029,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,黑龙潭公园办公室,公园,风景名胜;风景名胜相关;旅游景点,民主路1号黑龙潭(西南角),"100.233757,26.883949",以官方当日票价为准,以景区公告为准,需官方渠道核验,候选,低强度城市活动
poi-04-lijiang-20260514-030,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,呼呼亭,公园,风景名胜;风景名胜相关;旅游景点,民主路1号黑龙潭公园内,"100.234666,26.888030",0,白天开放,无需预约，园内点位以现场公告为准,候选,低强度城市活动
poi-04-lijiang-20260514-031,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,香格里拉虎跳峡景区,峡谷/徒步,风景名胜;风景名胜;国家级景点,虎跳峡镇东环线旁,"100.153928,27.239367",以官方当日票价为准,天气/道路稳定后再定,需官方渠道核验，遇预警跳过,候选,只在天气稳定、无预警时考虑
poi-04-lijiang-20260514-032,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,松赞林景区,峡谷/徒步,风景名胜;风景名胜;国家级景点,尼旺路3号,"99.707965,27.855854",以官方当日票价为准,以景区公告为准,需官方渠道核验,候选,只在天气稳定、无预警时考虑
poi-04-lijiang-20260514-033,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,普达措国家公园,峡谷/徒步,风景名胜;风景名胜;国家级景点,建塘镇红坡村双桥,"99.951808,27.856299",以官方当日票价为准,以景区公告为准,需官方渠道核验,候选,只在天气稳定、无预警时考虑
poi-04-lijiang-20260514-034,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,噶丹松赞林寺,峡谷/徒步,风景名胜;风景名胜;寺庙道观,尼旺路3号,"99.705525,27.859991",以官方当日票价为准,以景区公告为准,需官方渠道核验,候选,只在天气稳定、无预警时考虑
poi-04-lijiang-20260514-035,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,下虎跳峡,峡谷/徒步,风景名胜;风景名胜相关;旅游景点,虎跳峡镇东环线虎跳峡风景名胜区内,"100.192734,27.287592",以官方当日票价为准,天气/道路稳定后再定,需官方渠道核验，遇预警跳过,候选,只在天气稳定、无预警时考虑
poi-04-lijiang-20260514-036,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,云南香格里拉中虎跳峡(不对外开放),峡谷/徒步,风景名胜;风景名胜;风景名胜,东环线,"100.162484,27.254165",不安排购票,不对外开放，勿排入行程,不安排，改查官方开放状态,候选,只在天气稳定、无预警时考虑
