poi_id,query_date,city,stage,source,name,category,type,address,location,estimated_ticket_cny,opening_hours,reservation,priority,notes
poi-02-dali-20260514-001,2026-05-14,大理,02-dali,高德地图 REST place/text,双廊古镇,古城/街区,风景名胜;风景名胜;国家级景点,S314(环海东路),"100.194322,25.908323",0,全天开放，店铺营业时间各异,通常无需预约，商户消费另计,候选,免费慢逛，注意游客价
poi-02-dali-20260514-002,2026-05-14,大理,02-dali,高德地图 REST place/text,大理古城,古城/街区,风景名胜;风景名胜;国家级景点,护国路172号,"100.164000,25.694836",0,全天开放，店铺营业时间各异,通常无需预约，商户消费另计,候选,免费慢逛，注意游客价
poi-02-dali-20260514-003,2026-05-14,大理,02-dali,高德地图 REST place/text,南诏风情岛,古城/街区,风景名胜;风景名胜;国家级景点,双廊镇,"100.191460,25.902135",以官方当日票价为准,以景区官方公告为准,建议官方渠道预约/购票，需官方渠道核验,候选,免费慢逛，注意游客价
poi-02-dali-20260514-004,2026-05-14,大理,02-dali,高德地图 REST place/text,大理苍山世界地质公园,古城/街区,风景名胜;风景名胜;国家级景点|风景名胜;公园广场;公园,Z013附近,"100.119072,25.657252",以官方当日票价为准,以景区官方公告为准,建议官方渠道预约/购票，需官方渠道核验,候选,免费慢逛，注意游客价
poi-02-dali-20260514-005,2026-05-14,大理,02-dali,高德地图 REST place/text,沙溪古镇,古城/街区,风景名胜;风景名胜;风景名胜,084县道,"99.849895,26.315721",0,全天开放，店铺营业时间各异,通常无需预约，商户消费另计,候选,免费慢逛，注意游客价
poi-02-dali-20260514-006,2026-05-14,大理,02-dali,高德地图 REST place/text,鸡足山,古城/街区,风景名胜;风景名胜;国家级景点,鸡足山镇寺前村,"100.387661,25.956975",以官方当日票价为准,以景区官方公告为准,建议官方渠道预约/购票，需官方渠道核验,候选,免费慢逛，注意游客价
poi-02-dali-20260514-007,2026-05-14,大理,02-dali,高德地图 REST place/text,大理张家花园,古城/街区,风景名胜;风景名胜;省级景点,观音塘北旁,"100.18256,25.653166",以官方当日票价为准,以景区官方公告为准,建议官方渠道预约/购票，需官方渠道核验,候选,免费慢逛，注意游客价
poi-02-dali-20260514-008,2026-05-14,大理,02-dali,高德地图 REST place/text,崇圣寺三塔文化旅游区,古城/街区,风景名胜;风景名胜;寺庙道观,大理镇三塔公园,"100.143044,25.704129",以官方当日票价为准,以景区官方公告为准,建议官方渠道预约/购票，需官方渠道核验,候选,免费慢逛，注意游客价
poi-02-dali-20260514-009,2026-05-14,大理,02-dali,高德地图 REST place/text,大理古城红龙井,古城/街区,风景名胜;风景名胜;风景名胜,护国路172号大理古城(西南角),"100.161506,25.690055",0,全天开放，店铺营业时间各异,通常无需预约，商户消费另计,候选,免费慢逛，注意游客价
poi-02-dali-20260514-010,2026-05-14,大理,02-dali,高德地图 REST place/text,大理海洋世界,古城/街区,风景名胜;公园广场;水族馆,海东山地新城大理海洋城1栋2单元,"100.316478,25.681412",以官方当日票价为准,以场馆官方公告为准,建议官方渠道购票/预约，需官方渠道核验,候选,免费慢逛，注意游客价
poi-02-dali-20260514-011,2026-05-14,大理,02-dali,高德地图 REST place/text,喜洲古镇-严家民居,古镇/村落,风景名胜;风景名胜相关;旅游景点,喜洲风景区大理喜洲古镇富春里36号(喜洲小学斜对面),"100.129799,25.851680",以官方当日票价为准,以景区官方公告为准,建议官方渠道预约/购票，需官方渠道核验,候选,适合低强度半日
poi-02-dali-20260514-012,2026-05-14,大理,02-dali,高德地图 REST place/text,蝴蝶泉,古镇/村落,风景名胜;风景名胜;省级景点,永兴公路035乡,"100.098652,25.906777",以官方当日票价为准,以景区官方公告为准,建议官方渠道预约/购票，需官方渠道核验,候选,适合低强度半日
poi-02-dali-20260514-013,2026-05-14,大理,02-dali,高德地图 REST place/text,小普陀,古镇/村落,风景名胜;风景名胜;风景名胜,海东镇海印村77号,"100.223013,25.807452",0,白天开放，夜间部分区域可达,通常无需预约,候选,适合低强度半日
poi-02-dali-20260514-014,2026-05-14,大理,02-dali,高德地图 REST place/text,理想邦,古镇/村落,体育休闲服务;休闲场所;休闲场所|风景名胜;风景名胜相关;旅游景点,环海东路,"100.269930,25.698271",0,全天开放，店铺营业时间各异,通常无需预约，商户消费另计,候选,适合低强度半日
poi-02-dali-20260514-015,2026-05-14,大理,02-dali,高德地图 REST place/text,喜洲古镇-严家大院,古镇/村落,风景名胜;风景名胜相关;旅游景点,喜洲镇里面的四方街旁边,"100.131945,25.852696",以官方当日票价为准,以景区官方公告为准,建议官方渠道预约/购票，需官方渠道核验,候选,适合低强度半日
poi-02-dali-20260514-016,2026-05-14,大理,02-dali,高德地图 REST place/text,杨贵贤院,古镇/村落,风景名胜;风景名胜相关;旅游景点,清真路130号喜洲古镇内(东侧),"100.134634,25.853164",0,白天开放，夜间部分区域可达,通常无需预约,候选,适合低强度半日
poi-02-dali-20260514-017,2026-05-14,大理,02-dali,高德地图 REST place/text,洱海公园-动物园区,湖边/公园,风景名胜;公园广场;动物园,洱河南路1号洱海公园内(东侧),"100.253228,25.603212",0,全天开放，园内局部设施以现场公告为准,通常无需预约,候选,雨天和风大时降低优先级
poi-02-dali-20260514-018,2026-05-14,大理,02-dali,高德地图 REST place/text,洱海公园-猴山,湖边/公园,风景名胜;风景名胜;风景名胜,下关洱河南路1号洱海公园动物园区内,"100.253662,25.603854",0,全天开放，园内局部设施以现场公告为准,通常无需预约,候选,雨天和风大时降低优先级
poi-02-dali-20260514-019,2026-05-14,大理,02-dali,高德地图 REST place/text,洱海公园,湖边/公园,风景名胜;风景名胜;国家级景点,洱河南路1号,"100.247321,25.603053",0,全天开放，园内局部设施以现场公告为准,通常无需预约,候选,雨天和风大时降低优先级
poi-02-dali-20260514-020,2026-05-14,大理,02-dali,高德地图 REST place/text,天龙台,湖边/公园,风景名胜;风景名胜相关;旅游景点,洱河南路1号洱海公园内(西侧),"100.243675,25.603360",0,白天开放，夜间部分区域可达,通常无需预约,候选,雨天和风大时降低优先级
poi-02-dali-20260514-021,2026-05-14,大理,02-dali,高德地图 REST place/text,洱海,湖边/公园,地名地址信息;自然地名;湖泊|风景名胜;风景名胜相关;旅游景点,挖色镇大理海印学校北侧70米,"100.223578,25.806450",0,全天开放，环湖道路和亲水区域以现场管控为准,通常无需预约,候选,雨天和风大时降低优先级
poi-02-dali-20260514-022,2026-05-14,大理,02-dali,高德地图 REST place/text,洱海公园-听涛亭,湖边/公园,风景名胜;风景名胜相关;旅游景点,洱河南路1号洱海公园内(西侧),"100.241372,25.602708",0,全天开放，园内局部设施以现场公告为准,通常无需预约,候选,雨天和风大时降低优先级
poi-02-dali-20260514-023,2026-05-14,大理,02-dali,高德地图 REST place/text,百二山河牌坊,湖边/公园,风景名胜;风景名胜相关;旅游景点,滨海大道洱海公园内,"100.238355,25.602055",0,白天开放，夜间部分区域可达,通常无需预约,候选,雨天和风大时降低优先级
poi-02-dali-20260514-024,2026-05-14,大理,02-dali,高德地图 REST place/text,应海廟,湖边/公园,风景名胜;风景名胜;寺庙道观,洱河南路1号洱海公园内(东侧),"100.257960,25.606828",以官方当日票价为准,以寺庙/景区现场公告为准,建议现场或官方渠道核验,候选,雨天和风大时降低优先级
poi-02-dali-20260514-025,2026-05-14,大理,02-dali,高德地图 REST place/text,大理人民英雄纪念广场,湖边/公园,风景名胜;公园广场;城市广场,洱河南路1号洱海公园,"100.247629,25.604018",0,全天开放，园内局部设施以现场公告为准,通常无需预约,候选,雨天和风大时降低优先级
poi-02-dali-20260514-026,2026-05-14,大理,02-dali,高德地图 REST place/text,龙山公园,山地/自然,风景名胜;公园广场;公园,行政办公区,"100.270846,25.602364",0,全天开放，园内局部设施以现场公告为准,通常无需预约,候选,索道和山路看天气，默认不硬排
poi-02-dali-20260514-027,2026-05-14,大理,02-dali,高德地图 REST place/text,洱海大游船,山地/自然,风景名胜;风景名胜相关;旅游景点|体育休闲服务;体育休闲服务场所;体育休闲服务场所,洱河南路大理港码头,"100.235207,25.601252",以官方当日票价为准,以码头航班和天气公告为准,建议提前官方渠道购票，受天气影响需核验,候选,索道和山路看天气，默认不硬排
poi-02-dali-20260514-028,2026-05-14,大理,02-dali,高德地图 REST place/text,雄风塔(大理州政务服务中心),山地/自然,风景名胜;风景名胜;风景名胜,龙山东路与Z002交叉口西420米,"100.271435,25.601714",0,白天开放，夜间部分区域可达,通常无需预约,候选,索道和山路看天气，默认不硬排
poi-02-dali-20260514-029,2026-05-14,大理,02-dali,高德地图 REST place/text,苍山景区苍山感通索道,山地/自然,风景名胜;风景名胜;风景名胜,七里桥观音塘以西1.5公里,"100.157575,25.644642",以官方当日票价为准,以索道运营和天气公告为准,建议提前官方渠道购票，受天气影响需核验,候选,索道和山路看天气，默认不硬排
poi-02-dali-20260514-030,2026-05-14,大理,02-dali,高德地图 REST place/text,天井口袋公园,山地/自然,风景名胜;公园广场;公园,满江街道苍山东路434号,"100.256125,25.596004",0,全天开放，园内局部设施以现场公告为准,通常无需预约,候选,索道和山路看天气，默认不硬排
poi-02-dali-20260514-031,2026-05-14,大理,02-dali,高德地图 REST place/text,大理西湖,人文景区,风景名胜;风景名胜;省级景点,西湖线西湖景区内,"100.054326,26.013435",以官方当日票价为准,以景区官方公告为准,建议官方渠道预约/购票，需官方渠道核验,候选,门票以官方当日为准，预算紧张时仅外观
poi-02-dali-20260514-032,2026-05-14,大理,02-dali,高德地图 REST place/text,洗马潭索道,人文景区,风景名胜;风景名胜;风景名胜,三月街天龙八部影视城内,"100.138798,25.667764",以官方当日票价为准,以索道运营和天气公告为准,建议提前官方渠道购票，受天气影响需核验,候选,门票以官方当日为准，预算紧张时仅外观
poi-02-dali-20260514-033,2026-05-14,大理,02-dali,高德地图 REST place/text,天龙八部影视城,人文景区,风景名胜;风景名胜;风景名胜,大理古城(洗马潭索道东北),"100.149121,25.680112",以官方当日票价为准,以景区官方公告为准,建议官方渠道预约/购票，需官方渠道核验,候选,门票以官方当日为准，预算紧张时仅外观
