poi_id,query_date,city,stage,source,name,category,type,address,location,estimated_ticket_cny,opening_hours,reservation,priority,notes
poi-03-shaxi-jianchuan-20260514-001,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,大理古城,古镇,风景名胜;风景名胜;国家级景点,护国路172号,"100.164000,25.694836",0,全天开放,无需预约，临时管控以现场公告为准,候选,主体验，慢逛
poi-03-shaxi-jianchuan-20260514-002,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,沙溪古镇,古镇,风景名胜;风景名胜;风景名胜,084县道,"99.849895,26.315721",0,全天开放,无需预约，临时管控以现场公告为准,候选,主体验，慢逛
poi-03-shaxi-jianchuan-20260514-003,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,石宝山,古镇,风景名胜;风景名胜相关;旅游景点,,"99.841732,26.392967",以官方当日票价为准,白天开放，天气/道路稳定后再定,需官方渠道核验,候选,主体验，慢逛
poi-03-shaxi-jianchuan-20260514-004,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,玉津桥,古镇,风景名胜;风景名胜;风景名胜,沙溪古镇(东南角),"99.853348,26.314182",0,全天开放,无需预约，临时管控以现场公告为准,候选,主体验，慢逛
poi-03-shaxi-jianchuan-20260514-005,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,欧阳大院,古镇,风景名胜;风景名胜相关;旅游景点,沙溪古镇旅游景区,"99.851800,26.316709",0,白天开放,无需预约，宗教/院落开放以现场公告为准,候选,主体验，慢逛
poi-03-shaxi-jianchuan-20260514-006,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,城隍庙,古镇,风景名胜;风景名胜;寺庙道观,沙溪古镇鳌凤村S233和鳌凤村公路交叉口西南30米,"99.840048,26.304594",0,白天开放,无需预约，宗教/院落开放以现场公告为准,候选,主体验，慢逛
poi-03-shaxi-jianchuan-20260514-007,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,本主庙,古镇,风景名胜;风景名胜;寺庙道观,沙溪古镇内(东北角),"99.854229,26.317601",0,白天开放,无需预约，宗教/院落开放以现场公告为准,候选,主体验，慢逛
poi-03-shaxi-jianchuan-20260514-008,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,沙溪古镇东寨门,古镇,风景名胜;风景名胜相关;旅游景点,沙溪古镇寺登街50号,"99.853565,26.316015",0,全天开放,无需预约，临时管控以现场公告为准,候选,主体验，慢逛
poi-03-shaxi-jianchuan-20260514-009,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,沙溪古镇-四方街戏台,古镇,风景名胜;风景名胜相关;旅游景点,沙溪古镇内(东侧),"99.853076,26.315931",0,全天开放,无需预约，临时管控以现场公告为准,候选,主体验，慢逛
poi-03-shaxi-jianchuan-20260514-010,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,兴教寺,古镇,风景名胜;风景名胜;寺庙道观,沙溪镇沙溪古镇寺登街(近古戏台),"99.852845,26.315980",0,白天开放,无需预约，宗教/院落开放以现场公告为准,候选,主体验，慢逛
