poi_id,query_date,city,stage,source,name,category,type,address,location,estimated_ticket_cny,opening_hours,reservation,priority,notes
poi-06-shangrila-deqin-20260515-001,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,香格里拉市独克宗古城,古城/街区,风景名胜;风景名胜;风景名胜,康珠大道,"99.708514,27.810532",0,开放街区，全天可到；商户/馆点以现场为准,无需预约,候选,高海拔适应日低强度慢走
poi-06-shangrila-deqin-20260515-002,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,香格里拉市独克宗古城-月光广场,古城/街区,风景名胜;公园广场;城市广场,康珠大道香格里拉市独克宗古城,"99.707601,27.811227",0,开放广场，全天可到；活动管控以现场为准,无需预约,候选,高海拔适应日低强度慢走
poi-06-shangrila-deqin-20260515-003,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,独克宗古城北门广场,古城/街区,风景名胜;公园广场;城市广场,达娃路65号,"99.704141,27.814261",0,开放广场，全天可到；活动管控以现场为准,无需预约,候选,高海拔适应日低强度慢走
poi-06-shangrila-deqin-20260515-004,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,香格里拉市独克宗古城-古波廊,古城/街区,风景名胜;风景名胜相关;旅游景点,建塘镇康珠大道香格里拉市独克宗古城内(北侧),"99.707050,27.814549",0,古城内开放点位，全天可到；现场管控为准,无需预约,候选,高海拔适应日低强度慢走
poi-06-shangrila-deqin-20260515-005,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,香格里拉市独克宗古城-龙潭公园,古城/街区,风景名胜;公园广场;公园,建塘镇格里拉,"99.707656,27.818544",0,公园开放时间以现场公示为准,无需预约，现场核验,候选,高海拔适应日低强度慢走
poi-06-shangrila-deqin-20260515-006,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,独克宗古城北门城楼,古城/街区,风景名胜;风景名胜;风景名胜,达娃路113号,"99.704351,27.814212",以现场为准,开放时间以现场公示为准,现场核验是否开放登楼,候选,高海拔适应日低强度慢走
poi-06-shangrila-deqin-20260515-007,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,噶丹松赞林寺,人文景区,风景名胜;风景名胜;寺庙道观,尼旺路3号,"99.705525,27.859991",以官方当日票价为准,开放时间以景区当日公告为准,需官方渠道核验门票/观光车/入寺要求,候选,门票以官方当日为准，身体状态允许再去
poi-06-shangrila-deqin-20260515-008,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,松赞林寺寺门楼,人文景区,风景名胜;风景名胜相关;旅游景点,松赞林景区内,"99.705916,27.858023",以松赞林景区官方当日票价为准,按松赞林景区当日开放时间,需官方渠道核验，通常随景区入园,候选,门票以官方当日为准，身体状态允许再去
poi-06-shangrila-deqin-20260515-009,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,松赞林景区,人文景区,风景名胜;风景名胜;国家级景点,尼旺路3号,"99.707965,27.855854",以官方当日票价为准,开放时间以景区当日公告为准,需官方渠道核验门票/观光车/入园要求,候选,门票以官方当日为准，身体状态允许再去
poi-06-shangrila-deqin-20260515-010,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,噶丹松赞林寺-释迦牟尼大殿,人文景区,风景名胜;风景名胜;风景名胜,建塘镇尼旺路3号噶丹·松赞林寺内,"99.705820,27.860050",以松赞林景区官方当日票价为准,按松赞林景区当日开放时间；殿堂开放以现场为准,需官方渠道核验，入殿遵守现场要求,候选,门票以官方当日为准，身体状态允许再去
poi-06-shangrila-deqin-20260515-011,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,纳帕海,草原/湿地,风景名胜;风景名胜;风景名胜|地名地址信息;自然地名;自然地名,,"99.646379,27.824387",0,开放区域全天可到；雨季水位和道路以现场为准,无需预约，骑行/环湖路线现场确认,候选,天气好再去，默认不硬排
poi-06-shangrila-deqin-20260515-012,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,纳帕海大草原旅游景区,草原/湿地,风景名胜;风景名胜;风景名胜,建塘镇,"99.662423,27.846221",以现场为准,开放区域以现场公示为准；雨季水位影响路线,现场核验是否涉及收费牧场/骑马项目,候选,天气好再去，默认不硬排
poi-06-shangrila-deqin-20260515-013,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,纳帕海旅游景区,草原/湿地,风景名胜;风景名胜;风景名胜,建塘镇纳帕海旅游景区,"99.661027,27.881402",以现场为准,开放区域以现场公示为准；雨季水位影响路线,现场核验是否涉及收费区域/项目,候选,天气好再去，默认不硬排
poi-06-shangrila-deqin-20260515-014,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,纳帕海观景台,草原/湿地,风景名胜;风景名胜;风景名胜,214国道西,"99.632396,27.907669",0,开放观景点，全天可到；道路/停车以现场为准,无需预约,候选,天气好再去，默认不硬排
poi-06-shangrila-deqin-20260515-015,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,香格里拉纳帕海旅游景区,草原/湿地,风景名胜;风景名胜;风景名胜,建塘镇解放村,"99.652841,27.889967",以现场为准,开放区域以现场公示为准；雨季水位影响路线,现场核验是否涉及收费区域/项目,候选,天气好再去，默认不硬排
poi-06-shangrila-deqin-20260515-016,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,普达措国家公园,自然景区,风景名胜;风景名胜;国家级景点,建塘镇红坡村双桥,"99.951808,27.856299",以官方当日票价为准,开放时间以景区当日公告为准,需官方渠道核验门票/观光车；雨季/高海拔/道路稳定后再定,候选,门票和交通需官方渠道核验，预算紧张时跳过
poi-06-shangrila-deqin-20260515-017,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,普达措国家公园-码头,自然景区,风景名胜;风景名胜;风景名胜,普达措国家公园内(东南角),"99.976596,27.825056",以普达措国家公园官方当日票价为准,按普达措国家公园当日开放时间；游船/码头以现场为准,需官方渠道核验，通常随景区入园,候选,门票和交通需官方渠道核验，预算紧张时跳过
poi-06-shangrila-deqin-20260515-018,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,普达措国家公园-观景台,自然景区,风景名胜;风景名胜;观景点,东22公里处普达措国家公园内(北侧),"99.954487,27.903045",以普达措国家公园官方当日票价为准,按普达措国家公园当日开放时间；步道开放以现场为准,需官方渠道核验，通常随景区入园,候选,门票和交通需官方渠道核验，预算紧张时跳过
poi-06-shangrila-deqin-20260515-019,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,梅里雪山国家公园景区,雪山/观景,风景名胜;风景名胜;国家级景点,东北部十公里处,"98.875682,28.434825",以官方当日票价为准,开放时间/路况以景区当日公告为准,需官方渠道核验；雨季/高海拔/道路稳定后再定,候选,德钦天气窗口允许时保留
poi-06-shangrila-deqin-20260515-020,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,飞来寺,雪山/观景,风景名胜;风景名胜;寺庙道观,云岭乡西当村梅里雪山景区,"98.881797,28.444183",以现场为准,寺庙/观景区域开放以现场公示为准,现场核验，天气窗口允许时再定,候选,德钦天气窗口允许时保留
poi-06-shangrila-deqin-20260515-021,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,梅里雪山观景台,雪山/观景,风景名胜;风景名胜;风景名胜,飞来寺风景区观景台东南侧,"98.876736,28.437853",以现场为准,观景点开放以现场公示为准；日出观景需提前看天气,现场核验停车/观景台收费，天气窗口允许时再定,候选,德钦天气窗口允许时保留
poi-06-shangrila-deqin-20260515-022,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,飞来寺风景区观景台,雪山/观景,风景名胜;风景名胜;观景点,云岭乡西当村梅里雪山景区飞来寺景区内,"98.876640,28.437962",以现场为准,观景台开放以现场公示为准；日出观景需提前看天气,现场核验停车/观景台收费，天气窗口允许时再定,候选,德钦天气窗口允许时保留
poi-06-shangrila-deqin-20260515-023,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,梅里雪山卡瓦格博峰观景台,雪山/观景,风景名胜;风景名胜;风景名胜,梅里雪山国家公园景区(西北角),"98.844586,28.463543",以现场为准,观景点开放以现场公示为准；道路稳定后再定,现场核验，天气窗口允许时再定,候选,德钦天气窗口允许时保留
poi-06-shangrila-deqin-20260515-024,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,梅里雪山国家公园景区-日照金山,雪山/观景,风景名胜;风景名胜;风景名胜,升平镇东北部十公里处梅里雪山国家公园景区(东北角),"98.881922,28.444027",以梅里雪山国家公园官方当日票价为准,按景区/观景点当日开放和天气窗口,需官方渠道核验；日出观景提前确认天气和道路,候选,德钦天气窗口允许时保留
poi-06-shangrila-deqin-20260515-025,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,雾浓顶观景台,雪山/观景,风景名胜;风景名胜相关;旅游景点,梅里雪山国家公园雾浓顶内(西侧),"98.911351,28.446293",以现场为准,观景台开放以现场公示为准；道路稳定后再定,现场核验停车/观景台收费，天气窗口允许时再定,候选,德钦可选观景点
