poi_id,query_date,city,stage,source,name,category,type,address,location,estimated_ticket_cny,opening_hours,reservation,priority,notes
poi-07-tengchong-mangshi-20260515-001,2026-05-15,腾冲/芒市,07-tengchong-mangshi,高德地图 REST place/text,和顺古镇景区,古镇/村落,风景名胜;风景名胜;国家级景点,县城西南3公里处,"98.456507,25.009652",以官方当日票价为准,开放时间以景区当日公告为准；古镇住宿/街巷通行以现场为准,需官方渠道核验门票/优惠/入园要求,候选,慢逛核心，可按天气调整
poi-07-tengchong-mangshi-20260515-002,2026-05-15,腾冲/芒市,07-tengchong-mangshi,高德地图 REST place/text,和顺古镇景区-尹氏宗祠,古镇/村落,风景名胜;风景名胜;寺庙道观,和顺古镇,"98.453208,25.008164",以和顺古镇景区官方当日票价为准,按和顺古镇景区当日开放时间；宗祠开放以现场为准,需官方渠道核验，通常随景区入园,候选,慢逛核心，可按天气调整
poi-07-tengchong-mangshi-20260515-003,2026-05-15,腾冲/芒市,07-tengchong-mangshi,高德地图 REST place/text,和顺古镇景区-中天寺,古镇/村落,风景名胜;风景名胜;寺庙道观,和顺古镇,"98.454638,25.004219",以和顺古镇景区官方当日票价为准,按和顺古镇景区当日开放时间；寺院开放以现场为准,需官方渠道核验，通常随景区入园,候选,慢逛核心，可按天气调整
poi-07-tengchong-mangshi-20260515-004,2026-05-15,腾冲/芒市,07-tengchong-mangshi,高德地图 REST place/text,和顺古镇景区-张氏宗祠,古镇/村落,风景名胜;风景名胜;寺庙道观,腾冲和顺古镇,"98.451120,25.005981",以和顺古镇景区官方当日票价为准,按和顺古镇景区当日开放时间；宗祠开放以现场为准,需官方渠道核验，通常随景区入园,候选,慢逛核心，可按天气调整
poi-07-tengchong-mangshi-20260515-005,2026-05-15,腾冲/芒市,07-tengchong-mangshi,高德地图 REST place/text,和顺古镇景区-龙潭,古镇/村落,风景名胜;风景名胜相关;旅游景点,县城西南3公里处和顺古镇景区(东南角),"98.462924,25.003548",以和顺古镇景区官方当日票价为准,按和顺古镇景区当日开放时间；点位开放以现场为准,需官方渠道核验，通常随景区入园,候选,慢逛核心，可按天气调整
poi-07-tengchong-mangshi-20260515-006,2026-05-15,腾冲/芒市,07-tengchong-mangshi,高德地图 REST place/text,和顺古镇景区-千手观音古树群,古镇/村落,风景名胜;风景名胜相关;旅游景点,和顺古镇内,"98.448474,25.003450",以和顺古镇景区官方当日票价为准,按和顺古镇景区当日开放时间；点位开放以现场为准,需官方渠道核验，通常随景区入园,候选,慢逛核心，可按天气调整
poi-07-tengchong-mangshi-20260515-007,2026-05-15,腾冲/芒市,07-tengchong-mangshi,高德地图 REST place/text,腾冲市热海风景区,温泉/地热,风景名胜;风景名胜;国家级景点,清水乡刘家寨MB5县道路头,"98.440236,24.947291",以官方当日票价为准,开放时间以景区当日公告为准,需官方渠道核验门票/交通/温泉项目，预算紧张时跳过,候选,门票以官方当日为准，预算紧张时跳过
poi-07-tengchong-mangshi-20260515-008,2026-05-15,腾冲/芒市,07-tengchong-mangshi,高德地图 REST place/text,腾冲热海景区-姊妹泉,温泉/地热,风景名胜;风景名胜相关;旅游景点,清水乡刘家寨MB5县道路头腾冲市热海风景区内(西侧),"98.436603,24.948271",以热海风景区官方当日票价为准,按热海风景区当日开放时间；点位开放以现场为准,需官方渠道核验，通常随景区入园,候选,门票以官方当日为准，预算紧张时跳过
poi-07-tengchong-mangshi-20260515-009,2026-05-15,腾冲/芒市,07-tengchong-mangshi,高德地图 REST place/text,叠水河瀑布,自然景区,风景名胜;风景名胜;风景名胜,松园路与宝峰路交叉口东南约140米,"98.480753,25.029357",以现场为准,开放时间以景区现场公示为准,现场核验门票/开放状态,候选,市区低强度备选
poi-07-tengchong-mangshi-20260515-010,2026-05-15,腾冲/芒市,07-tengchong-mangshi,高德地图 REST place/text,腾冲叠水河景区,自然景区,风景名胜;风景名胜;风景名胜,宝峰路,"98.480818,25.029286",以现场为准,开放时间以景区现场公示为准,现场核验门票/开放状态,候选,市区低强度备选
poi-07-tengchong-mangshi-20260515-011,2026-05-15,腾冲/芒市,07-tengchong-mangshi,高德地图 REST place/text,滇西抗战纪念馆,自然景区,风景名胜;风景名胜;纪念馆,腾越镇天成社区太极小区2号,"98.481951,25.025754",0,开放时间以场馆当日公告为准；周一/节假日调整需核验,需官方渠道核验预约/闭馆日,候选,市区低强度备选
poi-07-tengchong-mangshi-20260515-012,2026-05-15,腾冲/芒市,07-tengchong-mangshi,高德地图 REST place/text,腾冲北海湿地,湿地/自然,风景名胜;风景名胜;风景名胜,北海乡双海村238省道,"98.556078,25.123805",以官方当日票价为准,开放时间以景区当日公告为准；雨季水位和栈道开放以现场为准,需官方渠道核验门票/船筏项目；雨季交通稳定后再定,候选,雨季看天气和交通
